2025-07-11 21:39:11.943 INFO: Epoch 38: head: Default, loss=1.3392, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.13
2025-07-11 21:39:41.610 INFO: Epoch 39: head: Default, loss=1.2628, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.06
2025-07-11 21:40:11.284 INFO: Epoch 40: head: Default, loss=1.2561, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.05
2025-07-11 21:40:40.956 INFO: Epoch 41: head: Default, loss=1.3145, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    3.08
2025-07-11 21:41:10.633 INFO: Epoch 42: head: Default, loss=1.0667, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.85
2025-07-11 21:41:40.372 INFO: Epoch 43: head: Default, loss=1.1272, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    2.87
2025-07-11 21:42:10.038 INFO: Epoch 44: head: Default, loss=1.3693, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    3.04
2025-07-11 21:42:39.707 INFO: Epoch 45: head: Default, loss=1.3407, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.46, RMSE_ALPHA_DERIV=    2.93
2025-07-11 21:43:09.369 INFO: Epoch 46: head: Default, loss=1.1084, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.15, RMSE_ALPHA_DERIV=    2.94
2025-07-11 21:43:39.018 INFO: Epoch 47: head: Default, loss=1.1040, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.90
2025-07-11 21:44:08.671 INFO: Epoch 48: head: Default, loss=0.9881, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.76
2025-07-11 21:44:38.384 INFO: Epoch 49: head: Default, loss=1.0695, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.11, RMSE_ALPHA_DERIV=    2.90
2025-07-11 21:45:08.055 INFO: Epoch 50: head: Default, loss=1.0457, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.37, RMSE_ALPHA_DERIV=    2.65
2025-07-11 21:45:37.718 INFO: Epoch 51: head: Default, loss=0.9918, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    2.74
2025-07-11 21:46:07.359 INFO: Epoch 52: head: Default, loss=1.1283, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.96
2025-07-11 21:46:37.017 INFO: Epoch 53: head: Default, loss=0.9300, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.67
2025-07-11 21:47:06.745 INFO: Epoch 54: head: Default, loss=0.9631, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    2.61
2025-07-11 21:47:36.425 INFO: Epoch 55: head: Default, loss=0.9101, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    2.63
2025-07-11 21:48:06.130 INFO: Epoch 56: head: Default, loss=0.9271, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    2.59
2025-07-11 21:48:35.788 INFO: Epoch 57: head: Default, loss=0.8719, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.56
2025-07-11 21:49:05.521 INFO: Epoch 58: head: Default, loss=0.8715, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.59
2025-07-11 21:49:35.233 INFO: Epoch 59: head: Default, loss=0.8084, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    2.51
2025-07-11 21:50:04.934 INFO: Epoch 60: head: Default, loss=0.9864, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    2.70
2025-07-11 21:50:34.589 INFO: Epoch 61: head: Default, loss=0.8742, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    2.55
2025-07-11 21:51:04.229 INFO: Epoch 62: head: Default, loss=1.1523, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.37, RMSE_ALPHA_DERIV=    2.81
2025-07-11 21:51:33.906 INFO: Epoch 63: head: Default, loss=1.0340, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    2.56
2025-07-11 21:52:03.582 INFO: Epoch 64: head: Default, loss=0.9947, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.35, RMSE_ALPHA_DERIV=    2.60
2025-07-11 21:52:33.247 INFO: Epoch 65: head: Default, loss=0.8999, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.52
2025-07-11 21:53:02.920 INFO: Epoch 66: head: Default, loss=0.8798, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    2.56
2025-07-11 21:53:32.598 INFO: Epoch 67: head: Default, loss=0.9906, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.71
2025-07-11 21:54:02.284 INFO: Epoch 68: head: Default, loss=0.8818, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    2.50
2025-07-11 21:54:31.953 INFO: Epoch 69: head: Default, loss=0.8416, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.56
2025-07-11 21:55:01.621 INFO: Epoch 70: head: Default, loss=0.8581, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.50
2025-07-11 21:55:31.285 INFO: Epoch 71: head: Default, loss=1.0351, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    2.80
2025-07-11 21:56:00.957 INFO: Epoch 72: head: Default, loss=0.8092, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    2.48
2025-07-11 21:56:30.626 INFO: Epoch 73: head: Default, loss=0.7205, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.36
2025-07-11 21:57:00.346 INFO: Epoch 74: head: Default, loss=0.7321, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.38
